loss,accuracy,val_loss,val_accuracy
0.10772313922643661,0.9575786590576172,0.0012806074228137732,1.0
0.0007749972282908857,0.9999822378158569,0.000327184097841382,1.0
0.0002755375753622502,1.0,0.00018562436162028462,1.0
0.00015945792256388813,1.0,0.00014388879935722798,1.0
0.00011000689846696332,1.0,9.044737089425325e-05,1.0
8.4986662841402e-05,1.0,8.282672934001312e-05,1.0
6.766484148101881e-05,1.0,6.161779310787097e-05,1.0
5.570047869696282e-05,1.0,5.048523598816246e-05,1.0
4.69796359539032e-05,1.0,4.277271727914922e-05,1.0
4.0592338336864486e-05,1.0,3.709950397023931e-05,1.0
3.5691959055839106e-05,1.0,3.2290372473653406e-05,1.0
3.155552258249372e-05,1.0,3.4190979931736365e-05,1.0
2.790061989799142e-05,1.0,2.7402324121794663e-05,1.0
2.5652470867498778e-05,1.0,2.5990837457356974e-05,1.0
2.2630902094533667e-05,1.0,2.5790077415877022e-05,1.0
2.0002904420834966e-05,1.0,1.8746446585282683e-05,1.0
1.817100383050274e-05,1.0,1.705268914520275e-05,1.0
1.6569189028814435e-05,1.0,1.7001219021040015e-05,1.0
1.509955200162949e-05,1.0,1.5040272955957334e-05,1.0
1.3894089534005616e-05,1.0,1.2956983482581563e-05,1.0
1.2482454621931538e-05,1.0,1.1833591997856274e-05,1.0
1.1505442671477795e-05,1.0,1.1396961781429127e-05,1.0
1.0430366273794789e-05,1.0,9.931819477060344e-06,1.0
9.58069085754687e-06,1.0,9.251066330762114e-06,1.0
8.797014743322507e-06,1.0,8.749722837819718e-06,1.0
8.203099241654854e-06,1.0,8.015201274247374e-06,1.0
7.397762601613067e-06,1.0,7.219960480142618e-06,1.0
6.809840670030098e-06,1.0,6.5809886109491345e-06,1.0
6.171860604808899e-06,1.0,6.415631105483044e-06,1.0
5.790065642941045e-06,1.0,6.358102837111801e-06,1.0
5.3822845984541345e-06,1.0,5.71787541048252e-06,1.0
4.94261394123896e-06,1.0,4.571505087369587e-06,1.0
4.382528004498454e-06,1.0,4.266224095772486e-06,1.0
4.046339654451003e-06,1.0,3.932128493033815e-06,1.0
3.6986873510613805e-06,1.0,3.7616491681546904e-06,1.0
3.4097815841960255e-06,1.0,3.4779595807776786e-06,1.0
3.1366319035441848e-06,1.0,3.0730373055121163e-06,1.0
2.8914316771988524e-06,1.0,2.823046770572546e-06,1.0
2.609823468446848e-06,1.0,2.575132612037123e-06,1.0
2.4351129468414e-06,1.0,2.5152828584396048e-06,1.0
2.2126257590571186e-06,1.0,2.114426251864643e-06,1.0
2.0040645267727086e-06,1.0,2.1328141883714125e-06,1.0
1.8790211697705672e-06,1.0,2.0486093035287922e-06,1.0
1.6712914430172532e-06,1.0,1.7769461919669993e-06,1.0
1.5614162975907675e-06,1.0,1.4965474974815152e-06,1.0
1.4297035022536875e-06,1.0,1.4692869854115997e-06,1.0
1.3185812122173957e-06,1.0,1.35031962145149e-06,1.0
1.148482851931476e-06,1.0,1.2086690048818127e-06,1.0
1.093410560315533e-06,1.0,1.089593411052192e-06,1.0
9.886347243082128e-07,1.0,9.487530974183755e-07,1.0
9.059759236151876e-07,1.0,8.771731927481596e-07,1.0
8.28191389246058e-07,1.0,8.310045700454793e-07,1.0
7.606799385939667e-07,1.0,7.547952236564015e-07,1.0
6.80507980632683e-07,1.0,7.008439411038125e-07,1.0
6.218326120688289e-07,1.0,6.213230676621606e-07,1.0
5.594134790953831e-07,1.0,5.742724056290172e-07,1.0
5.275690000416944e-07,1.0,5.061776278125762e-07,1.0
4.848074013352743e-07,1.0,4.7118840029725106e-07,1.0
4.3156384776921186e-07,1.0,4.1452736354585795e-07,1.0
4.0129049239112646e-07,1.0,4.78255060443189e-07,1.0
3.557784111762885e-07,1.0,3.5026172895413765e-07,1.0
3.3465175874880515e-07,1.0,3.262520635871624e-07,1.0
3.1957378610059095e-07,1.0,2.97157498607703e-07,1.0
2.8051238132320577e-07,1.0,2.786078425742744e-07,1.0
2.616071697048028e-07,1.0,2.4215856342379993e-07,1.0
2.3065631182817015e-07,1.0,2.2500411489545513e-07,1.0
2.0972665026874893e-07,1.0,2.2064840266011743e-07,1.0
1.9487325175759906e-07,1.0,1.8202085527718737e-07,1.0
1.724578737594129e-07,1.0,1.715136335178613e-07,1.0
1.673601985885398e-07,1.0,1.5304070188904006e-07,1.0
1.466804491201401e-07,1.0,1.680947718796233e-07,1.0
1.3793794551020255e-07,1.0,1.3206508242546988e-07,1.0
1.2352511191693338e-07,1.0,1.3949467358997936e-07,1.0
1.1304558711344725e-07,1.0,1.0552981422051744e-07,1.0
1.0220556845297324e-07,1.0,1.0073477341165926e-07,1.0
9.894392860587686e-08,1.0,1.1592222648459938e-07,1.0
8.702660636572546e-08,1.0,1.2067872035004257e-07,1.0
8.364590797782512e-08,1.0,7.595725293185751e-08,1.0
7.475357222119783e-08,1.0,6.720765810541707e-08,1.0
6.574904176659402e-08,1.0,6.28137968305964e-08,1.0
6.798817508979482e-08,1.0,6.331030277806349e-08,1.0
5.7936006214731606e-08,1.0,6.298576238350506e-08,1.0
5.533860658601952e-08,1.0,4.9784929956331325e-08,1.0
4.555945665174477e-08,1.0,4.5601197484756995e-08,1.0
4.401840314471883e-08,1.0,4.313679369261081e-08,1.0
4.3975923347261414e-08,1.0,3.9449737698760146e-08,1.0
3.8912641997512765e-08,1.0,3.5495219208314666e-08,1.0
3.5902655071140543e-08,1.0,4.605964676329677e-08,1.0
3.172843321408436e-08,1.0,2.7910916244877626e-08,1.0
2.985292368862247e-08,1.0,2.5924125068854664e-08,1.0
2.65127102494489e-08,1.0,2.5427420169421566e-08,1.0
2.5202377074151627e-08,1.0,2.787264108405907e-08,1.0
2.345388594449105e-08,1.0,2.8885233760433948e-08,1.0
2.3350196443061577e-08,1.0,4.53141240086552e-08,1.0
2.880478966460487e-08,1.0,1.7518381412173767e-08,1.0
1.7499459659120475e-08,1.0,1.7881358616023135e-08,1.0
1.6680257175494262e-08,1.0,1.845443264869573e-08,1.0
1.4288321636968249e-08,1.0,1.642945690605302e-08,1.0
1.3435245804771512e-08,1.0,1.618107248191336e-08,1.0
1.4895808142512124e-08,1.0,1.5550664755892285e-08,1.0
1.4836507133964005e-08,1.0,1.1901808427694505e-08,1.0
1.2450926512030946e-08,1.0,1.0335277522699471e-08,1.0
1.1398893384750863e-08,1.0,1.0010508866287182e-08,1.0
1.0118244020418388e-08,1.0,1.1214048356578132e-08,1.0
9.925614108396985e-09,1.0,9.169933257169305e-09,1.0
9.610216622490952e-09,1.0,1.289519246938653e-08,1.0
9.629260055987743e-09,1.0,7.90906540260039e-09,1.0
9.116982724322042e-09,1.0,8.4248688025923e-09,1.0
7.942191793119946e-09,1.0,6.896552662283284e-09,1.0
