loss,accuracy,val_loss,val_accuracy
0.3325069546699524,0.8763051629066467,0.004402677528560162,0.9995192289352417
0.0008803470409475267,0.999786913394928,0.00012432693620212376,1.0
2.2722591893398203e-05,1.0,7.452531281160191e-05,1.0
1.8400887711322866e-05,1.0,7.71833147155121e-05,1.0
1.5769883248140104e-05,1.0,6.699864024994895e-05,1.0
1.3923961887485348e-05,1.0,5.998772758175619e-05,1.0
1.2498529031290673e-05,1.0,5.616238559014164e-05,1.0
1.1221861313970294e-05,1.0,4.91089558636304e-05,1.0
1.0487459803698584e-05,1.0,5.297625102684833e-05,1.0
9.635933565732557e-06,1.0,4.9365884478902444e-05,1.0
8.998495104606263e-06,1.0,4.8081081331474707e-05,1.0
8.402647836192045e-06,1.0,5.1144688768545166e-05,1.0
7.92916034697555e-06,1.0,4.2321873479522765e-05,1.0
7.542018011008622e-06,1.0,4.1366936784470454e-05,1.0
7.095610271790065e-06,1.0,4.350049130152911e-05,1.0
6.746238796040416e-06,1.0,4.112157694180496e-05,1.0
6.443493020924507e-06,1.0,4.336683196015656e-05,1.0
6.114844381954754e-06,1.0,4.112994793104008e-05,1.0
5.86554961046204e-06,1.0,4.087416164111346e-05,1.0
5.628218787023798e-06,1.0,3.873040623147972e-05,1.0
5.397253517003264e-06,1.0,3.8813359424239025e-05,1.0
5.21387801200035e-06,1.0,4.019837433588691e-05,1.0
4.996724328520941e-06,1.0,3.604501762310974e-05,1.0
4.807910954696126e-06,1.0,3.560337790986523e-05,1.0
4.65897119283909e-06,1.0,3.4831355151254684e-05,1.0
4.484676082938677e-06,1.0,3.458918581600301e-05,1.0
4.331321633799234e-06,1.0,3.3223481295863166e-05,1.0
4.182549673714675e-06,1.0,3.471376112429425e-05,1.0
4.051720679854043e-06,1.0,3.272411777288653e-05,1.0
3.916253263014369e-06,1.0,3.301312608527951e-05,1.0
3.7967208754707826e-06,1.0,3.1228970328811556e-05,1.0
3.673443870866322e-06,1.0,3.1567738915327936e-05,1.0
3.5581765587267e-06,1.0,3.004468817380257e-05,1.0
3.4487118227843894e-06,1.0,3.134850339847617e-05,1.0
3.348937525515794e-06,1.0,2.987938751175534e-05,1.0
3.2580087463429663e-06,1.0,2.9917961001046933e-05,1.0
3.1536317237623734e-06,1.0,2.8550370188895613e-05,1.0
3.0609410259785363e-06,1.0,2.7358957595424727e-05,1.0
2.966142801597016e-06,1.0,2.794314241327811e-05,1.0
2.8843180643889355e-06,1.0,2.6851455913856626e-05,1.0
2.8071879114577314e-06,1.0,2.7398553356761113e-05,1.0
2.7210942334932042e-06,1.0,2.6843770683626644e-05,1.0
2.651734348546597e-06,1.0,2.591540032881312e-05,1.0
2.5766582893993473e-06,1.0,2.5770606953301467e-05,1.0
2.5030792585312156e-06,1.0,2.5493591238046065e-05,1.0
2.435827582303318e-06,1.0,2.493080319254659e-05,1.0
2.3701445570623036e-06,1.0,2.474168832122814e-05,1.0
2.3018383217277005e-06,1.0,2.4044375095400028e-05,1.0
2.240706635348033e-06,1.0,2.296517232025508e-05,1.0
2.185199491577805e-06,1.0,2.292796125402674e-05,1.0
2.119031023539719e-06,1.0,2.37884305533953e-05,1.0
2.0653335468523437e-06,1.0,2.259373832202982e-05,1.0
2.009638819799875e-06,1.0,2.2224561689654365e-05,1.0
1.952020738826832e-06,1.0,2.238341221527662e-05,1.0
1.9007228502232465e-06,1.0,2.2427722797147e-05,1.0
1.852504624366702e-06,1.0,2.25549447350204e-05,1.0
1.8012539158007712e-06,1.0,2.1278501662891358e-05,1.0
1.755066023179097e-06,1.0,2.1684993043891154e-05,1.0
1.712424932520662e-06,1.0,2.1570631361100823e-05,1.0
1.6635276551824063e-06,1.0,2.0263347323634662e-05,1.0
1.6182751778615057e-06,1.0,2.0520899852272123e-05,1.0
1.5833030602152576e-06,1.0,2.0322193449828774e-05,1.0
1.5326262428061455e-06,1.0,1.9636876459117047e-05,1.0
1.495654032623861e-06,1.0,1.899331618915312e-05,1.0
