loss,accuracy,val_loss,val_accuracy
0.1419399380683899,0.9567263126373291,0.0011506202863529325,0.9996795058250427
0.00039289926644414663,1.0,0.00043415106483735144,0.9996795058250427
0.00014495976211037487,1.0,0.00021066793124191463,1.0
8.328275725943968e-05,1.0,0.0001812497212085873,1.0
5.6747998314676806e-05,1.0,0.0001483232481405139,1.0
4.370133319753222e-05,1.0,0.00010888827091548592,1.0
3.527291482896544e-05,1.0,8.458559022983536e-05,1.0
2.919197504525073e-05,1.0,7.472094875993207e-05,1.0
2.492173371138051e-05,1.0,7.140128582250327e-05,1.0
2.1712829038733616e-05,1.0,6.565671355929226e-05,1.0
1.8895862012868747e-05,1.0,5.490972398547456e-05,1.0
1.673786755418405e-05,1.0,4.71905259473715e-05,1.0
1.4890697457303759e-05,1.0,4.292043377063237e-05,1.0
1.3402270269580185e-05,1.0,3.969835233874619e-05,1.0
1.2010225873382296e-05,1.0,3.531444235704839e-05,1.0
1.0876590749830939e-05,1.0,3.1562660296913236e-05,1.0
9.893458809528966e-06,1.0,3.265413761255331e-05,1.0
8.93833475856809e-06,1.0,2.7067051632911898e-05,1.0
8.182284545910079e-06,1.0,2.5632622055127285e-05,1.0
7.45030456528184e-06,1.0,2.5437853764742613e-05,1.0
6.827995548519539e-06,1.0,1.8851073036785237e-05,1.0
6.24463928033947e-06,1.0,1.9120505385217257e-05,1.0
5.683856215910055e-06,1.0,1.8030661522061564e-05,1.0
5.1930737754446454e-06,1.0,1.7334466974716634e-05,1.0
4.767111477121944e-06,1.0,1.6255311493296176e-05,1.0
4.362428626336623e-06,1.0,1.3163225048629101e-05,1.0
4.007202278444311e-06,1.0,1.186805729957996e-05,1.0
3.689529648909229e-06,1.0,1.1983640433754772e-05,1.0
3.3884966796904337e-06,1.0,1.1219187399547081e-05,1.0
3.075817630815436e-06,1.0,8.904471542336978e-06,1.0
2.8236231628397945e-06,1.0,9.730958481668495e-06,1.0
2.6283469196641818e-06,1.0,8.253487067122478e-06,1.0
2.403944108664291e-06,1.0,6.846099040558329e-06,1.0
2.2001697743689874e-06,1.0,6.212160769791808e-06,1.0
2.024981995418784e-06,1.0,6.202077656780602e-06,1.0
1.848637680268439e-06,1.0,5.907058948650956e-06,1.0
1.6826629689603578e-06,1.0,6.493805358331883e-06,1.0
1.5755770164105343e-06,1.0,4.763189281220548e-06,1.0
1.4152881249174243e-06,1.0,4.92818844577414e-06,1.0
1.3090333368381835e-06,1.0,4.631227056961507e-06,1.0
1.2068715022905963e-06,1.0,3.85131943403394e-06,1.0
1.088828980755352e-06,1.0,3.355409944560961e-06,1.0
1.0134108379133977e-06,1.0,3.1936751838657074e-06,1.0
9.310779773841205e-07,1.0,3.1571651106787613e-06,1.0
8.484717568535416e-07,1.0,2.824853027050267e-06,1.0
7.719386871940515e-07,1.0,2.2661743059870787e-06,1.0
7.136096087378974e-07,1.0,2.357342509640148e-06,1.0
6.502692144749744e-07,1.0,2.28816429626022e-06,1.0
5.958818292128853e-07,1.0,2.172462473026826e-06,1.0
5.443995974019344e-07,1.0,1.8875133491746965e-06,1.0
4.980902872375736e-07,1.0,1.8899403357863775e-06,1.0
4.5117309355191537e-07,1.0,1.3319712479642476e-06,1.0
4.197157466023782e-07,1.0,1.4661349041489302e-06,1.0
3.846504057491984e-07,1.0,1.2783135616700747e-06,1.0
3.55569113708043e-07,1.0,1.2463410712371115e-06,1.0
3.2958138262983994e-07,1.0,1.0932691338894074e-06,1.0
2.931017490936938e-07,1.0,9.057068837137194e-07,1.0
2.70933696810971e-07,1.0,9.117616741605161e-07,1.0
2.4422018896075315e-07,1.0,9.882709264275036e-07,1.0
2.259257030345907e-07,1.0,7.247342068694707e-07,1.0
2.0726625393763243e-07,1.0,6.566131105500972e-07,1.0
1.9059555711464782e-07,1.0,6.392773457264411e-07,1.0
1.7411645103493356e-07,1.0,5.147007300365658e-07,1.0
1.5976155509633827e-07,1.0,4.7640727984799014e-07,1.0
1.464833871978044e-07,1.0,5.090970489618485e-07,1.0
1.3459815306759992e-07,1.0,4.835594609176042e-07,1.0
1.2271243576833513e-07,1.0,4.133146944695909e-07,1.0
1.1353240125799857e-07,1.0,4.054444957546366e-07,1.0
1.0315382326098188e-07,1.0,3.393274994323292e-07,1.0
9.422134183978415e-08,1.0,3.023981776095752e-07,1.0
8.716619248616553e-08,1.0,2.8120672368459054e-07,1.0
7.878828256480119e-08,1.0,2.57994742014489e-07,1.0
7.189395745399452e-08,1.0,2.631612971981667e-07,1.0
6.689000997539551e-08,1.0,2.416493600776448e-07,1.0
6.087631021500783e-08,1.0,2.0753736862388905e-07,1.0
5.6483997923351126e-08,1.0,2.599830679628212e-07,1.0
5.2309655274029865e-08,1.0,1.8023239078956976e-07,1.0
4.806773290511046e-08,1.0,1.706652028587996e-07,1.0
4.2659415555590385e-08,1.0,1.5416809162616119e-07,1.0
3.991183916696173e-08,1.0,1.4232901435207168e-07,1.0
3.632816714116416e-08,1.0,1.34767603299224e-07,1.0
3.3426051260221357e-08,1.0,1.252387136219113e-07,1.0
3.060019437839401e-08,1.0,1.2550445660508558e-07,1.0
2.8041002408940585e-08,1.0,1.3042978252997273e-07,1.0
2.6112621398510782e-08,1.0,1.1200319960380511e-07,1.0
2.4184226177226265e-08,1.0,9.951426704901678e-08,1.0
2.158484946335193e-08,1.0,1.1079890072096532e-07,1.0
2.031688595138803e-08,1.0,8.731046818866162e-08,1.0
1.82826713768236e-08,1.0,8.641259086061837e-08,1.0
1.7319523593073427e-08,1.0,8.532366280178394e-08,1.0
1.614894173940229e-08,1.0,6.754333270464485e-08,1.0
1.4286194449653067e-08,1.0,6.576708955208233e-08,1.0
1.3583412616924306e-08,1.0,6.14695991885128e-08,1.0
1.2552544781385677e-08,1.0,6.521278095306116e-08,1.0
1.1604226024530817e-08,1.0,6.983441380725708e-08,1.0
1.0531017835546663e-08,1.0,3.9198816637053824e-08,1.0
9.948897705669424e-09,1.0,4.124245478465127e-08,1.0
8.934965656237637e-09,1.0,4.9073499042151525e-08,1.0
8.251240579681962e-09,1.0,4.450848223314097e-08,1.0
7.698760740026955e-09,1.0,5.0219341574120335e-08,1.0
7.1462782358366894e-09,1.0,3.194002573536636e-08,1.0
6.540880725935949e-09,1.0,3.916017732308319e-08,1.0
6.236058780473286e-09,1.0,3.57028682174132e-08,1.0
5.8423350601799484e-09,1.0,2.9074691099140182e-08,1.0
5.264456870435197e-09,1.0,3.436576179183248e-08,1.0
4.987155577396152e-09,1.0,3.533988746085015e-08,1.0
4.540513742767871e-09,1.0,2.8444262056837033e-08,1.0
4.201828662786511e-09,1.0,3.1882525064474976e-08,1.0
3.939346182590953e-09,1.0,2.238892449213381e-08,1.0
3.734018871881517e-09,1.0,2.5387942415022735e-08,1.0
3.490586708565502e-09,1.0,2.0459594907151768e-08,1.0
3.268324277883039e-09,1.0,1.5263694308487175e-08,1.0
2.9889091202051077e-09,1.0,2.1261868710098497e-08,1.0
2.796280096362125e-09,1.0,1.7498685167538497e-08,1.0
2.6798567809294127e-09,1.0,1.4251215318950017e-08,1.0
2.4152586597381287e-09,1.0,1.3296068246404502e-08,1.0
2.2967183710420613e-09,1.0,2.271360344252571e-08,1.0
2.3242365809750254e-09,1.0,1.6619937426298748e-08,1.0
2.1337254185738175e-09,1.0,1.7918910799608057e-08,1.0
2.0024835123422235e-09,1.0,1.1003690403299515e-08,1.0
1.843725172534505e-09,1.0,1.1729601290255687e-08,1.0
1.7654040451731134e-09,1.0,1.7193000800830305e-08,1.0
1.6214624087851348e-09,1.0,1.386912806822238e-08,1.0
1.5727762425754577e-09,1.0,1.094636559173523e-08,1.0
1.5092724847676209e-09,1.0,1.2913978331141607e-08,1.0
1.4224837974197158e-09,1.0,1.0124933780275569e-08,1.0
1.4055495656251082e-09,1.0,1.1385736797819845e-08,1.0
1.2594910669960768e-09,1.0,1.0640714975806986e-08,1.0
1.223505741165809e-09,1.0,1.237909241780244e-08,1.0
1.1642353747731704e-09,1.0,9.666452527312686e-09,1.0
1.1324833293357983e-09,1.0,7.469568075180177e-09,1.0
1.0710966558136192e-09,1.0,9.609139262067856e-09,1.0
1.018176876144139e-09,1.0,8.596663825244377e-09,1.0
1.0033592845459793e-09,1.0,8.386529692927525e-09,1.0
9.67373847693409e-10,1.0,5.521009871500837e-09,1.0
9.313884108408388e-10,1.0,6.839150579196485e-09,1.0
8.805853823901089e-10,1.0,7.832529291817991e-09,1.0
8.721182664928051e-10,1.0,6.896462956262894e-09,1.0
8.149648733635217e-10,1.0,8.443837629101836e-09,1.0
8.318992161804317e-10,1.0,7.049288264227016e-09,1.0
7.705122095913453e-10,1.0,6.915564121356965e-09,1.0
7.81096243240853e-10,1.0,5.92218096784336e-09,1.0
7.472275020958818e-10,1.0,5.998594510003841e-09,1.0
6.921909712076513e-10,1.0,5.92218185602178e-09,1.0
6.964245846674544e-10,1.0,6.3233538405427225e-09,1.0
